01/01/2032;quinta-feira;Confraternização Universal
09/02/2032;segunda-feira;Carnaval
10/02/2032;terça-feira;Carnaval
26/03/2032;sexta-feira;Paixão de Cristo
21/04/2032;quarta-feira;Tiradentes
27/05/2032;quinta-feira;Corpus Christi
07/09/2032;terça-feira;Independência do Brasil
12/10/2032;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2032;terça-feira;Finados
15/11/2032;segunda-feira;Proclamação da República
28/02/2033;segunda-feira;Carnaval
01/03/2033;terça-feira;Carnaval
15/04/2033;sexta-feira;Paixão de Cristo
21/04/2033;quinta-feira;Tiradentes
16/06/2033;quinta-feira;Corpus Christi
07/09/2033;quarta-feira;Independência do Brasil
12/10/2033;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2033;quarta-feira;Finados
15/11/2033;terça-feira;Proclamação da República
20/02/2034;segunda-feira;Carnaval
21/02/2034;terça-feira;Carnaval
07/04/2034;sexta-feira;Paixão de Cristo
21/04/2034;sexta-feira;Tiradentes
01/05/2034;segunda-feira;Dia do Trabalho
08/06/2034;quinta-feira;Corpus Christi
07/09/2034;quinta-feira;Independência do Brasil
12/10/2034;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2034;quinta-feira;Finados
15/11/2034;quarta-feira;Proclamação da República
25/12/2034;segunda-feira;Natal
01/01/2035;segunda-feira;Confraternização Universal
05/02/2035;segunda-feira;Carnaval
06/02/2035;terça-feira;Carnaval
23/03/2035;sexta-feira;Paixão de Cristo
01/05/2035;terça-feira;Dia do Trabalho
24/05/2035;quinta-feira;Corpus Christi
07/09/2035;sexta-feira;Independência do Brasil
12/10/2035;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2035;sexta-feira;Finados
15/11/2035;quinta-feira;Proclamação da República
25/12/2035;terça-feira;Natal
01/01/2036;terça-feira;Confraternização Universal
25/02/2036;segunda-feira;Carnaval
26/02/2036;terça-feira;Carnaval
11/04/2036;sexta-feira;Paixão de Cristo
21/04/2036;segunda-feira;Tiradentes
01/05/2036;quinta-feira;Dia do Trabalho
12/06/2036;quinta-feira;Corpus Christi
25/12/2036;quinta-feira;Natal
01/01/2037;quinta-feira;Confraternização Universal
16/02/2037;segunda-feira;Carnaval
17/02/2037;terça-feira;Carnaval
03/04/2037;sexta-feira;Paixão de Cristo
21/04/2037;terça-feira;Tiradentes
01/05/2037;sexta-feira;Dia do Trabalho
04/06/2037;quinta-feira;Corpus Christi
07/09/2037;segunda-feira;Independência do Brasil
12/10/2037;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2037;segunda-feira;Finados
25/12/2037;sexta-feira;Natal
01/01/2038;sexta-feira;Confraternização Universal
08/03/2038;segunda-feira;Carnaval
09/03/2038;terça-feira;Carnaval
21/04/2038;quarta-feira;Tiradentes
23/04/2038;sexta-feira;Paixão de Cristo
24/06/2038;quinta-feira;Corpus Christi
07/09/2038;terça-feira;Independência do Brasil
12/10/2038;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2038;terça-feira;Finados
15/11/2038;segunda-feira;Proclamação da República
21/02/2039;segunda-feira;Carnaval
22/02/2039;terça-feira;Carnaval
08/04/2039;sexta-feira;Paixão de Cristo
21/04/2039;quinta-feira;Tiradentes
09/06/2039;quinta-feira;Corpus Christi
07/09/2039;quarta-feira;Independência do Brasil
12/10/2039;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2039;quarta-feira;Finados
15/11/2039;terça-feira;Proclamação da República
13/02/2040;segunda-feira;Carnaval
14/02/2040;terça-feira;Carnaval
30/03/2040;sexta-feira;Paixão de Cristo
01/05/2040;terça-feira;Dia do Trabalho
31/05/2040;quinta-feira;Corpus Christi
07/09/2040;sexta-feira;Independência do Brasil
12/10/2040;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2040;sexta-feira;Finados
15/11/2040;quinta-feira;Proclamação da República
25/12/2040;terça-feira;Natal
01/01/2041;terça-feira;Confraternização Universal
04/03/2041;segunda-feira;Carnaval
05/03/2041;terça-feira;Carnaval
19/04/2041;sexta-feira;Paixão de Cristo
01/05/2041;quarta-feira;Dia do Trabalho
20/06/2041;quinta-feira;Corpus Christi
15/11/2041;sexta-feira;Proclamação da República
25/12/2041;quarta-feira;Natal
01/01/2042;quarta-feira;Confraternização Universal
17/02/2042;segunda-feira;Carnaval
18/02/2042;terça-feira;Carnaval
04/04/2042;sexta-feira;Paixão de Cristo
21/04/2042;segunda-feira;Tiradentes
01/05/2042;quinta-feira;Dia do Trabalho
05/06/2042;quinta-feira;Corpus Christi
25/12/2042;quinta-feira;Natal
01/01/2043;quinta-feira;Confraternização Universal
09/02/2043;segunda-feira;Carnaval
10/02/2043;terça-feira;Carnaval
27/03/2043;sexta-feira;Paixão de Cristo
21/04/2043;terça-feira;Tiradentes
01/05/2043;sexta-feira;Dia do Trabalho
28/05/2043;quinta-feira;Corpus Christi
07/09/2043;segunda-feira;Independência do Brasil
12/10/2043;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2043;segunda-feira;Finados
25/12/2043;sexta-feira;Natal
01/01/2044;sexta-feira;Confraternização Universal
29/02/2044;segunda-feira;Carnaval
01/03/2044;terça-feira;Carnaval
15/04/2044;sexta-feira;Paixão de Cristo
21/04/2044;quinta-feira;Tiradentes
16/06/2044;quinta-feira;Corpus Christi
07/09/2044;quarta-feira;Independência do Brasil
12/10/2044;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2044;quarta-feira;Finados
15/11/2044;terça-feira;Proclamação da República
20/02/2045;segunda-feira;Carnaval
21/02/2045;terça-feira;Carnaval
07/04/2045;sexta-feira;Paixão de Cristo
21/04/2045;sexta-feira;Tiradentes
01/05/2045;segunda-feira;Dia do Trabalho
08/06/2045;quinta-feira;Corpus Christi
07/09/2045;quinta-feira;Independência do Brasil
12/10/2045;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2045;quinta-feira;Finados
15/11/2045;quarta-feira;Proclamação da República
25/12/2045;segunda-feira;Natal
01/01/2046;segunda-feira;Confraternização Universal
05/02/2046;segunda-feira;Carnaval
06/02/2046;terça-feira;Carnaval
23/03/2046;sexta-feira;Paixão de Cristo
01/05/2046;terça-feira;Dia do Trabalho
24/05/2046;quinta-feira;Corpus Christi
07/09/2046;sexta-feira;Independência do Brasil
12/10/2046;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2046;sexta-feira;Finados
15/11/2046;quinta-feira;Proclamação da República
25/12/2046;terça-feira;Natal
01/01/2047;terça-feira;Confraternização Universal
25/02/2047;segunda-feira;Carnaval
26/02/2047;terça-feira;Carnaval
12/04/2047;sexta-feira;Paixão de Cristo
21/04/2047;terça-feira;Tiradentes
01/05/2047;quarta-feira;Dia do Trabalho
13/06/2047;quinta-feira;Corpus Christi
15/11/2047;sexta-feira;Proclamação da República
25/12/2047;quarta-feira;Natal
01/01/2048;quarta-feira;Confraternização Universal
17/02/2048;segunda-feira;Carnaval
18/02/2048;terça-feira;Carnaval
03/04/2048;sexta-feira;Paixão de Cristo
21/04/2048;terça-feira;Tiradentes
01/05/2048;sexta-feira;Dia do Trabalho
04/06/2048;quinta-feira;Corpus Christi
